linijka;nazwa;cena_jedn;kategoria_podatku;ilość;całkowita_cena;quantity;jednostka
MAKA BASIA 1KG C 9 x3,59 32,31C;MAKA BASIA 1KG;3,59;C;1;32,31;9;KG
ZELKI KW GWIAZDK 9 A 1 x3,99 3,99A;ZELKI KW GWIAZDK;3,99;A;1;3,99;1;
CUK KR/RE/BO/ZO/P A0,914 x14,99 13,70A;CUK KRREBOZOP;14,99;A;1;13,70;0,914;
SOLKAMIENNA 1,1KG A 1 x2,29 2,29A;SOLKAMIENNA 1,1KG;2,29;A;1,1;2,29;1;KG
ZELKIKWASNE 100G A 1 x3,99 3,99A;ZELKIKWASNE 100G;3,99;A;100;3,99;;G
PRZYPRAWA W PL 200 B 1 x2,99 2,99B;PRZYPRAWA W PL 200;2,99;B;1;2,99;;
KONCENTRAT POMI 31 C 4 x7,19 28,76C;KONCENTRAT POMI 31;7,19;C;4;28,76;;
PRZYPRAWA D/BIG 20 B 2 x1,59 3,18B;PRZYPRAWA DBIG 20;1,59;B;2;3,18;;
KONCENTRAT POM 900 C 1 x9,99 9,99C;KONCENTRAT POM 900;9,99;C;1;9,99;;
KAPUSTA 3,1 KG C 1 x14,49 14,49C;KAPUSTA 3,1 KG;14,49;C;3,1;14,49;;KG
CHLEB 3 * 10,5G = 31,50 C;CHLEB;10,50;C;3;31,50;;
BUŁKA H  1,80 =7,20 C;BUŁKA;1,80;C;"";7,20;;
KLłkEukalMent25ODg H 1SZT x4,99 4;KLłk Eukal Ment 25Og;4,99;"";250;4,99;;G
Ka5aosExcl.Indyk9Og t 1SZT x6,79;Kaaos Excl. Indyk 9Og;6,79;;90;6,79;;G
 KabanosyvDri5o5y t 1ST x6,79 G;Kabanosyv Drioy;6,79;G;1;6,79;;SZT
Kabanos7Kurczakai0O%  1S2T x6, 79 G 79:;Kabanos Kurczakai;6,79;G;1;6,79;;SZT
CHLEB PRASKI AGATA 1000GC 1SZT x8,95 8,95C;CHLEB PRASKI AGATA 1000G;8,95;C;1000;8,95;;G
CHLEB PRASKI AGATA 1000GC 1SZT x8,95 8,95C;CHLEB PRASKI AGATA 1000G;8,95;C;1000;8,95;;G
CHLEB PRASKI AGATA 1000GC 1SZT x8,95 8,95C;CHLEB PRASKI AGATA 1000G;8,95;C;1000;8,95;;G
KAPUSTA CZERWONA LUZC 2,225kg x3,50 7,79C;KAPUSTA CZERWONA LUZ;3,50;C;2,225;7,79;;KG
MILKA CZEK OREO 100gA 1szt., x3,99 3,99A;MILKA CZEK OREO 100g;3,99;A;1;3,99;;G
MILKA CZEK.OPEO 100gA 1szt. x3,99 3,99A;MILKA CZEK. OPEO 100g;3,99;A;1;3,99;;G
ZIEMNIAKI WORcEOKGC 1szt. x16,00 16,00C;ZIEMNIAKI WORcEO KG;16,00;C;1;16,00;;KG
C_KAJZERKA 50 G 6 x 0,39 2,34C;KAJZERKA 50G;0,39;C;6;2,34;;G
A_PAPIER TOALET.MAXI 1 x 2,69 2,69A;PAPIER TOALET. MAXI;2,69;A;1;2,69;;
A_SAMELLE 1 R 2 x 12,39 24,78A;SAMELLE;12,39;A;2;24,78;;
C_PUDDING 200G 2 x 2,35 4,70C;PUDDING 200G;2,35;C;2;4,70;;G
CMIESZ.KUK.450/2700 2 x 5,99 11,98C;CMIESZ. KUK. 450/2700;5,99;C;2;11,98;;
C_BERLKUR. 500 G 2 x 7,53 15,06C;BERLKUR. 500 G;7,53;C;2;15,06;;G
Lody-gatka 2.000x6.00z.00C;Lody-gatka;6,00;C;2;;;
B_HER.OWOC. MIX 45 G 3 x 5,99 16,7;HER. OWOC. MIX 45 G;5,99;B;3;16,97;;G
C_HERBATN. TEA 4OOG 1 x 4,95 4,95C;HERBATN. TEA 4OOG;4,95;C;1;4,95;;G
C_WAFLE ORZECH 450 G 2 x 6,99 13,98C;WAFLE ORZECH 450 G;6,99;C;2;13,98;;G
A_LE CHEF 12O SZT 2 x 2,69 5,38A;LE CHEF 12O SZT;2,69;A;2;5,38;;SZT
C_BROKUŁ MROZ. 450G 3 x 6,99 20,97C;BROKUŁ MROZ. 450G;6,99;C;3;20,97;;G
C_SZPINAK HORTE.450G 1 x 5,99 5,99C;SZPINAK HORTE. 450G;5,99;C;1;5,99;;G
C_CZE.FAS. 410/240 G 3 x 3,15 9,95C;CZE. FAS. 410/240 G;3,15;C;3;9,95;;G
C_OLEJ WIELKOP.1L 4 x 10,99 93,96C;OLEJ WIELKOP. 1L;10,99;C;4;93,96;;L
C_KAJZERKA 50 G 8 x 0,39 3,12C;KAJZERKA 50 G;0,39;C;8;3,12;;G
