linijka;nazwa;ilość;cena_jedn;kategoria_podatku;jednostka;całkowita_cena
"MAKA BASIA 1KG C 9 x3,59 32,31C";MĄKA BASIA 1KG;9;3,59;C;;32,31
"ZELKI KW GWIAZDK 9 A 1 x3,99 3,99A";ŻELKI KW GWIAZDK 9;1;3,99;A;;3,99
"CUK KR/RE/BO/ZO/P A0,914 x14,99 13,70A";CUK KR/RE/BO/ZO/P;0,914;14,99;A;;13,70
"SOLKAMIENNA 1,1KG A 1 x2,29 2,29A";SÓL KAMIENNA 1,1KG;1;2,29;A;;2,29
"ZELKIKWASNE 100G A 1 x3,99 3,99A";ŻELKI KWAŚNE 100G;1;3,99;A;;3,99
"PRZYPRAWA W PL 200 B 1 x2,99 2,99B";PRZYPRAWA W PL 200;1;2,99;B;;2,99
"KONCENTRAT POMI 31 C 4 x7,19 28,76C";KONCENTRAT POMIDOROWY 31;4;7,19;C;;28,76
"PRZYPRAWA D/BIG 20 B 2 x1,59 3,18B";PRZYPRAWA DO BIGOSU 20;2;1,59;B;;3,18
"KONCENTRAT POM 900 C 1 x9,99 9,99C";KONCENTRAT POM 900;1;9,99;C;;9,99
"KAPUSTA 3,1 KG C 1 x14,49 14,49C";KAPUSTA 3,1 KG;1;14,49;C;;14,49
"CHLEB 3 * 10,5G = 31,50 C";CHLEB;3;10,50;C;;31,50
"BUŁKA H  1,80 =7,20 C";BUŁKA;4;1,80;C;;7,20
"KLłkEukalMent25ODg H 1SZT x4,99 4";Cukierki EukalMent 250g;1;4,99;H;SZT;4,99
"Ka5aosExcl.Indyk9Og t 1SZT x6,79 ";Kabanos Excl. Indyk 90g;1;6,79;;SZT;6,79
" KabanosyvDri5o5y t 1ST x6,79 G";Kabanosy Drobiowe;1;6,79;G;SZT;6,79
"Kabanos7Kurczakai0O%  1S2T x6, 79 G 79:";Kabanos Kurczak 100%;1;6,79;G;SZT;6,79
"CHLEB PRASKI AGATA 1000GC 1SZT x8,95 8,95C";CHLEB PRASKI AGATA 1000G;1;8,95;C;SZT;8,95
"CHLEB PRASKI AGATA 1000GC 1SZT x8,95 8,95C";CHLEB PRASKI AGATA 1000G;1;8,95;C;SZT;8,95
"CHLEB PRASKI AGATA 1000GC 1SZT x8,95 8,95C";CHLEB PRASKI AGATA 1000G;1;8,95;C;SZT;8,95
"KAPUSTA CZERWONA LUZC 2,225kg x3,50 7,79C";KAPUSTA CZERWONA LUZ;2,225;3,50;C;kg;7,79
"MILKA CZEK OREO 100gA 1szt., x3,99 3,99A";MILKA CZEK OREO 100g;1;3,99;A;szt;3,99
"MILKA CZEK.OPEO 100gA 1szt. x3,99 3,99A";MILKA CZEK. OREO 100g;1;3,99;A;szt;3,99
"ZIEMNIAKI WORcEOKGC 1szt. x16,00 16,00C";ZIEMNIAKI WOREK;1;16,00;C;szt;16,00
"C_KAJZERKA 50 G 6 x 0,39 2,34C";KAJZERKA 50 G;6;0,39;C;;2,34
"A_PAPIER TOALET.MAXI 1 x 2,69 2,69A";PAPIER TOALET. MAXI;1;2,69;A;;2,69
"A_SAMELLE 1 R 2 x 12,39 24,78A";SAMELLE 1 R;2;12,39;A;;24,78
"C_PUDDING 200G 2 x 2,35 4,70C";PUDDING 200G;2;2,35;C;;4,70
"CMIESZ.KUK.450/2700 2 x 5,99 11,98C";MIESZ. KUK. 450G;2;5,99;C;;11,98
"C_BERLKUR. 500 G 2 x 7,53 15,06C";BERLINKI KUR. 500 G;2;7,53;C;;15,06
"Lody-gatka 2.000x6.00z.00C";Lody-gałka;2;6,00;C;;12,00
"B_HER.OWOC. MIX 45 G 3 x 5,99 16,7";HER. OWOC. MIX 45 G;3;5,99;B;;16,70
"C_HERBATN. TEA 4OOG 1 x 4,95 4,95C";HERBATN. TEA 400G;1;4,95;C;;4,95
"C_WAFLE ORZECH 450 G 2 x 6,99 13,98C";WAFLE ORZECH 450 G;2;6,99;C;;13,98
"A_LE CHEF 12O SZT 2 x 2,69 5,38A";LE CHEF 120 SZT;2;2,69;A;;5,38
"C_BROKUŁ MROZ. 450G 3 x 6,99 20,97C";BROKUŁ MROZ. 450G;3;6,99;C;;20,97
"C_SZPINAK HORTE.450G 1 x 5,99 5,99C";SZPINAK HORTEX 450G;1;5,99;C;;5,99
"C_CZE.FAS. 410/240 G 3 x 3,15 9,95C";CZE. FASOLA 410/240 G;3;3,15;C;;9,95
"C_OLEJ WIELKOP.1L 4 x 10,99 93,96C";OLEJ WIELKOP. 1L;4;10,99;C;;93,96
"C_KAJZERKA 50 G 8 x 0,39 3,12C";KAJZERKA 50 G;8;0,39;C;;3,12
"C_SER FAVITA 2700 1 x 6,15 6,15C";SER FAVITA 270G;1;6,15;C;;6,15
"B_ZELATYNA SPOZY 50G 1 x 4,99 4,99B";ŻELATYNA SPOŻYWCZA 50G;1;4,99;B;;4,99
"C_JAJA SPOZ.10M 4 x 10,99 43,96C";JAJA SPOŻ. 10M;4;10,99;C;;43,96
"C_BANANY LUZ 0,945 x 3,99 3,30C";BANANY LUZ;0,945;3,99;C;;3,30
"PerłaChmie.But0,5L H 2SzZT x3,89 7,78A";Perła Chmie. But 0,5L;2;3,89;A;SZT;7,78
"YanoHamburger200g t 3SZT x2,79 8,37C";Yano Hamburger 200g;3;2,79;C;SZT;8,37
"SierpcSerekCapri220g* t 1SZT x5,99 5,99C";Sierpc Serek Capri 220g;1;5,99;C;SZT;5,99
"SierpcSerekCapri220g* t 1SZT x5,99 5,99C";Sierpc Serek Capri 220g;1;5,99;C;SZT;5,99
"SierpcSerekCapri220g* t 1SZT x5,99 5,99C";Sierpc Serek Capri 220g;1;5,99;C;SZT;5,99
"SierpcSerekCapri220g* t1SZT x5,99 5,99C";Sierpc Serek Capri 220g;1;5,99;C;SZT;5,99
"KLC.SerGouda300gpl t 1SZT x6,99 6,99C";Ser Gouda 300g;1;6,99;C;SZT;6,99
"KLt.SerEdamski300gpl t 1SzT x6,99 6,99C";Ser Edamski 300g;1;6,99;C;SZT;6,99
"S1erpcSerektapr1220g* t 1SzT x5,99 5,99C";Sierpc Serek Capri 220g;1;5,99;C;SZT;5,99
"S1erQpcSerekCapr1220g* t 1SzT x5,99 5,99C";Sierpc Serek Capri 220g;1;5,99;C;SZT;5,99
"SierQcSerekCapri220g* t 1SzT x5,99 5,99C";Sierpc Serek Capri 220g;1;5,99;C;SZT;5,99
"S1erQcSerekCapri1220g* t 1SzT x5,99 5,99C";Sierpc Serek Capri 220g;1;5,99;C;SZT;5,99
"SierpcSerekCapri220g* t 1SZT x5,99 5,99C";Sierpc Serek Capri 220g;1;5,99;C;SZT;5,99
"SierpcSerekCapri220g* t 1SZT x5,99 5,99C";Sierpc Serek Capri 220g;1;5,99;C;SZT;5,99
"K.Ser Topiony 100g t 2SZT x2,19 4,38C";Ser Topiony 100g;2;2,19;C;SZT;4,38
"Śmietana18%t1.300g* t 1SZT x4,59 4,59C";Śmietana 18% 300g;1;4,59;C;SZT;4,59
"STD.TwarógWędz275g t 2SZT x4,49 8,98C";STD. Twaróg Wędz 275g;2;4,49;C;SZT;8,98
"BigActiveHerbata40g i 1SZT x5,99 5,99B";Big Active Herbata 40g;1;5,99;B;SZT;5,99
"BigActiveHerbata40g i 2SZT x5,99 11,98B";Big Active Herbata 40g;2;5,99;B;SZT;11,98
"Bu1ka poznańska 75g t 9SZT x0,69 6,21C";Bułka poznańska 75g;9;0,69;C;SZT;6,21
"SierpcSerekCapri220g* t 1S2T x5,99 5,99C";Sierpc Serek Capri 220g;1;5,99;C;SZT;5,99
"SierpcSerekCapri220g* t 1SZT x5,99 5,99C";Sierpc Serek Capri 220g;1;5,99;C;SZT;5,99
"KLC.SerGouda300gpl t 1SZT x6,99 6,99C";Ser Gouda 300g;1;6,99;C;SZT;6,99
"KLC.SerEdamski300gpl t 1SZT x6,99 6,99C";Ser Edamski 300g;1;6,99;C;SZT;6,99
"SierpcSerekCapri220g* t 1SZT x5,99 5,99C";Sierpc Serek Capri 220g;1;5,99;C;SZT;5,99
"SierpcSerekCapri220g* t 1SZT x5,99 5,99C";Sierpc Serek Capri 220g;1;5,99;C;SZT;5,99
"SierpcSerekCapri220g* t 1SZT x5,99 5,99";Sierpc Serek Capri 220g;1;5,99;;SZT;5,99
"SierpcSerekCapri220g* t 1SZT x5,99 5,99C";Sierpc Serek Capri 220g;1;5,99;C;SZT;5,99
"SierpcSerekCapri220g* t 1SZT x5,99 5,99";Sierpc Serek Capri 220g;1;5,99;;SZT;5,99
"SierpcSerekCapri220g* t 1SZT x5,99 5,99";Sierpc Serek Capri 220g;1;5,99;;SZT;5,99
"K.Ser Topiony 100g t 2SZT x2,19 4,38C";Ser Topiony 100g;2;2,19;C;SZT;4,38
"Śmietana18%t1.300g* t 1SZT x4,59 4,59C";Śmietana 18% 300g;1;4,59;C;SZT;4,59
"STD.TwarógWędz275g t 2SZT x4,49 8,98C";STD. Twaróg Wędz 275g;2;4,49;C;SZT;8,98
"BigActiveHerbata40g i 1SZT x5,99 5,99B";Big Active Herbata 40g;1;5,99;B;SZT;5,99
"Bi9ActiveHerbata4Og i 2SZT x5,99 11,98B";Big Active Herbata 40g;2;5,99;B;SZT;11,98
"Bu1ka poznańska 75g t 9SzT x0,69 6,21C";Bułka poznańska 75g;9;0,69;C;SZT;6,21
"HeinzKetchup1OO0G 1 1SZT x15,99 15,99B";Heinz Ketchup 1000G;1;15,99;B;SZT;15,99
